,Date,Net Sales,Orders,Guests
01/01/2023,1970-01-01 00:00:00.000000493,15,15,
01/02/2023,1970-01-01 00:00:00.000000000,0,0,
01/03/2023,1970-01-01 00:00:00.000000360,12,12,
01/04/2023,1970-01-01 00:00:00.000000254,9,9,
01/05/2023,1970-01-01 00:00:00.000000405,16,16,
01/06/2023,1970-01-01 00:00:00.000000704,26,26,
01/07/2023,1970-01-01 00:00:00.000000758,23,23,
01/08/2023,1970-01-01 00:00:00.000000561,13,13,
01/09/2023,1970-01-01 00:00:00.000000000,0,0,
01/10/2023,1970-01-01 00:00:00.000000409,13,13,
01/11/2023,1970-01-01 00:00:00.000000173,6,6,
01/12/2023,1970-01-01 00:00:00.000000175,7,7,
01/13/2023,1970-01-01 00:00:00.000000798,23,23,
01/14/2023,1970-01-01 00:00:00.000000733,21,21,
01/15/2023,1970-01-01 00:00:00.000000594,16,16,
01/16/2023,1970-01-01 00:00:00.000000000,0,0,
01/17/2023,1970-01-01 00:00:00.000000342,9,9,
01/18/2023,1970-01-01 00:00:00.000000270,9,9,
01/19/2023,1970-01-01 00:00:00.000000255,9,9,
01/20/2023,1970-01-01 00:00:00.000000570,20,20,
01/21/2023,1970-01-01 00:00:00.000000398,13,13,
01/22/2023,1970-01-01 00:00:00.000000363,11,11,
01/23/2023,1970-01-01 00:00:00.000000000,0,0,
01/24/2023,1970-01-01 00:00:00.000000388,13,13,
01/25/2023,1970-01-01 00:00:00.000000153,6,6,
01/26/2023,1970-01-01 00:00:00.000000395,13,13,
01/27/2023,1970-01-01 00:00:00.000000513,19,19,
01/28/2023,1970-01-01 00:00:00.000000513,21,21,
01/29/2023,1970-01-01 00:00:00.000000794,23,23,
01/30/2023,1970-01-01 00:00:00.000000000,0,0,
01/31/2023,1970-01-01 00:00:00.000000000,0,0,
02/01/2023,1970-01-01 00:00:00.000000000,0,0,
02/02/2023,1970-01-01 00:00:00.000000322,12,12,
02/03/2023,1970-01-01 00:00:00.000000981,30,30,
02/04/2023,1970-01-01 00:00:00.000000868,28,28,
02/05/2023,1970-01-01 00:00:00.000000804,26,26,
02/06/2023,1970-01-01 00:00:00.000000000,0,0,
02/07/2023,1970-01-01 00:00:00.000000231,7,7,
02/08/2023,1970-01-01 00:00:00.000000302,9,9,
02/09/2023,1970-01-01 00:00:00.000000998,34,34,
02/10/2023,1970-01-01 00:00:00.000001005,25,25,
02/11/2023,1970-01-01 00:00:00.000000760,25,25,
02/12/2023,1970-01-01 00:00:00.000001292,28,28,
02/13/2023,1970-01-01 00:00:00.000000000,0,0,
02/14/2023,1970-01-01 00:00:00.000000527,17,17,
02/15/2023,1970-01-01 00:00:00.000000429,8,8,
02/16/2023,1970-01-01 00:00:00.000000395,12,12,
02/17/2023,1970-01-01 00:00:00.000001537,23,23,
02/18/2023,1970-01-01 00:00:00.000000544,19,19,
02/19/2023,1970-01-01 00:00:00.000000443,17,17,
02/20/2023,1970-01-01 00:00:00.000000000,0,0,
02/21/2023,1970-01-01 00:00:00.000000386,15,15,
02/22/2023,1970-01-01 00:00:00.000000687,17,17,
02/23/2023,1970-01-01 00:00:00.000000508,21,21,
02/24/2023,1970-01-01 00:00:00.000001041,39,39,
02/25/2023,1970-01-01 00:00:00.000000888,25,25,
02/26/2023,1970-01-01 00:00:00.000000605,17,17,
02/27/2023,1970-01-01 00:00:00.000000000,0,0,
02/28/2023,1970-01-01 00:00:00.000000571,15,15,
03/01/2023,1970-01-01 00:00:00.000000457,18,18,
03/02/2023,1970-01-01 00:00:00.000000726,25,25,
03/03/2023,1970-01-01 00:00:00.000000904,34,34,
03/04/2023,1970-01-01 00:00:00.000000792,28,28,
03/05/2023,1970-01-01 00:00:00.000000757,22,22,
03/06/2023,1970-01-01 00:00:00.000000000,0,0,
03/07/2023,1970-01-01 00:00:00.000000228,9,9,
03/08/2023,1970-01-01 00:00:00.000000652,22,22,
03/09/2023,1970-01-01 00:00:00.000000439,15,15,
03/10/2023,1970-01-01 00:00:00.000000652,21,21,
03/11/2023,1970-01-01 00:00:00.000001000,28,28,
03/12/2023,1970-01-01 00:00:00.000000859,22,22,
03/13/2023,1970-01-01 00:00:00.000000000,0,0,
03/14/2023,1970-01-01 00:00:00.000000960,25,25,
03/15/2023,1970-01-01 00:00:00.000000425,14,14,
03/16/2023,1970-01-01 00:00:00.000000411,16,16,
03/17/2023,1970-01-01 00:00:00.000000966,32,32,
03/18/2023,1970-01-01 00:00:00.000001133,29,29,
03/19/2023,1970-01-01 00:00:00.000000915,26,26,
03/20/2023,1970-01-01 00:00:00.000000000,0,0,
03/21/2023,1970-01-01 00:00:00.000000459,20,20,
03/22/2023,1970-01-01 00:00:00.000000241,12,12,
03/23/2023,1970-01-01 00:00:00.000000133,5,5,
03/24/2023,1970-01-01 00:00:00.000000463,17,17,
03/25/2023,1970-01-01 00:00:00.000000553,16,16,
03/26/2023,1970-01-01 00:00:00.000000431,15,15,
03/27/2023,1970-01-01 00:00:00.000000000,0,0,
03/28/2023,1970-01-01 00:00:00.000000891,18,18,
03/29/2023,1970-01-01 00:00:00.000000357,16,16,
03/30/2023,1970-01-01 00:00:00.000000492,16,16,
03/31/2023,1970-01-01 00:00:00.000001481,28,28,
04/01/2023,1970-01-01 00:00:00.000000772,23,23,
04/02/2023,1970-01-01 00:00:00.000000342,10,10,
04/03/2023,1970-01-01 00:00:00.000000000,0,0,
04/04/2023,1970-01-01 00:00:00.000000267,9,9,
04/05/2023,1970-01-01 00:00:00.000000282,12,12,
04/06/2023,1970-01-01 00:00:00.000000561,15,15,
04/07/2023,1970-01-01 00:00:00.000000629,18,18,
04/08/2023,1970-01-01 00:00:00.000000861,21,21,
04/09/2023,1970-01-01 00:00:00.000000729,23,23,
04/10/2023,1970-01-01 00:00:00.000000000,0,0,
04/11/2023,1970-01-01 00:00:00.000000416,9,9,
04/12/2023,1970-01-01 00:00:00.000000536,19,19,
04/13/2023,1970-01-01 00:00:00.000000347,14,14,
04/14/2023,1970-01-01 00:00:00.000000582,19,19,
04/15/2023,1970-01-01 00:00:00.000000791,27,27,
04/16/2023,1970-01-01 00:00:00.000000966,27,27,
04/17/2023,1970-01-01 00:00:00.000000000,0,0,
04/18/2023,1970-01-01 00:00:00.000000769,18,18,
04/19/2023,1970-01-01 00:00:00.000000788,30,30,
04/20/2023,1970-01-01 00:00:00.000000559,17,17,
04/21/2023,1970-01-01 00:00:00.000000636,22,22,
04/22/2023,1970-01-01 00:00:00.000000807,19,19,
04/23/2023,1970-01-01 00:00:00.000000706,21,21,
04/24/2023,1970-01-01 00:00:00.000000000,0,0,
04/25/2023,1970-01-01 00:00:00.000000317,11,11,
04/26/2023,1970-01-01 00:00:00.000000292,12,12,
04/27/2023,1970-01-01 00:00:00.000000327,12,12,
04/28/2023,1970-01-01 00:00:00.000000976,33,33,
04/29/2023,1970-01-01 00:00:00.000000478,19,19,
04/30/2023,1970-01-01 00:00:00.000001185,34,34,
05/01/2023,1970-01-01 00:00:00.000000000,0,0,
05/02/2023,1970-01-01 00:00:00.000000379,11,11,
05/03/2023,1970-01-01 00:00:00.000000266,11,11,
05/04/2023,1970-01-01 00:00:00.000000291,10,10,
05/05/2023,1970-01-01 00:00:00.000000663,25,25,
05/06/2023,1970-01-01 00:00:00.000001136,47,47,
