Date,Net Sales,Orders,Guests
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000347,11,11,
1970-01-01 00:00:00.000000871,18,18,
1970-01-01 00:00:00.000000447,15,15,
1970-01-01 00:00:00.000000823,25,25,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000381,12,12,
1970-01-01 00:00:00.000000144,5,5,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000584,22,22,
1970-01-01 00:00:00.000001029,24,24,
1970-01-01 00:00:00.000000498,16,16,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000263,9,9,
1970-01-01 00:00:00.000000254,8,8,
1970-01-01 00:00:00.000000351,9,9,
1970-01-01 00:00:00.000001694,22,22,
1970-01-01 00:00:00.000001056,28,28,
1970-01-01 00:00:00.000000809,19,19,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000205,7,7,
1970-01-01 00:00:00.000000404,13,13,
1970-01-01 00:00:00.000000499,12,12,
1970-01-01 00:00:00.000000970,25,25,
1970-01-01 00:00:00.000000896,24,24,
1970-01-01 00:00:00.000000468,14,14,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000109,4,4,
1970-01-01 00:00:00.000000371,14,14,
1970-01-01 00:00:00.000000361,15,15,
1970-01-01 00:00:00.000000858,25,25,
1970-01-01 00:00:00.000000732,21,21,
1970-01-01 00:00:00.000000603,17,17,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000299,8,8,
1970-01-01 00:00:00.000000226,7,7,
1970-01-01 00:00:00.000000505,8,8,
1970-01-01 00:00:00.000003551,33,33,
1970-01-01 00:00:00.000001437,37,37,
1970-01-01 00:00:00.000001704,39,39,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000220,10,10,
1970-01-01 00:00:00.000000063,2,2,
1970-01-01 00:00:00.000000943,9,9,
1970-01-01 00:00:00.000000584,21,21,
1970-01-01 00:00:00.000000813,22,22,
1970-01-01 00:00:00.000000540,17,17,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000095,4,4,
1970-01-01 00:00:00.000000426,14,14,
1970-01-01 00:00:00.000000698,18,18,
1970-01-01 00:00:00.000002331,69,69,
1970-01-01 00:00:00.000003426,93,93,
1970-01-01 00:00:00.000002875,80,80,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000001437,45,45,
1970-01-01 00:00:00.000001460,44,44,
1970-01-01 00:00:00.000001439,46,46,
1970-01-01 00:00:00.000002469,69,69,
1970-01-01 00:00:00.000002228,69,69,
1970-01-01 00:00:00.000001503,46,46,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000001032,36,36,
1970-01-01 00:00:00.000000820,23,23,
1970-01-01 00:00:00.000001104,28,28,
1970-01-01 00:00:00.000002457,67,67,
1970-01-01 00:00:00.000002383,65,65,
1970-01-01 00:00:00.000001634,44,44,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000001506,29,29,
1970-01-01 00:00:00.000001096,30,30,
1970-01-01 00:00:00.000000956,29,29,
1970-01-01 00:00:00.000002497,66,66,
1970-01-01 00:00:00.000002751,70,70,
1970-01-01 00:00:00.000001956,44,44,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000754,23,23,
1970-01-01 00:00:00.000000515,16,16,
1970-01-01 00:00:00.000000823,21,21,
1970-01-01 00:00:00.000001126,33,33,
1970-01-01 00:00:00.000002181,69,69,
1970-01-01 00:00:00.000001234,38,38,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000767,28,28,
1970-01-01 00:00:00.000000951,30,30,
1970-01-01 00:00:00.000000779,20,20,
1970-01-01 00:00:00.000001972,56,56,
1970-01-01 00:00:00.000002022,61,61,
1970-01-01 00:00:00.000001152,34,34,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000402,15,15,
1970-01-01 00:00:00.000000782,24,24,
1970-01-01 00:00:00.000000825,25,25,
1970-01-01 00:00:00.000001900,56,56,
1970-01-01 00:00:00.000002284,52,52,
1970-01-01 00:00:00.000001118,34,34,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000823,23,23,
1970-01-01 00:00:00.000000506,14,14,
1970-01-01 00:00:00.000000784,24,24,
1970-01-01 00:00:00.000001499,39,39,
1970-01-01 00:00:00.000001919,52,52,
1970-01-01 00:00:00.000001309,32,32,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000669,24,24,
1970-01-01 00:00:00.000000458,15,15,
1970-01-01 00:00:00.000000784,26,26,
1970-01-01 00:00:00.000001158,36,36,
