Item,Quantity Sold,Total Sales
Chicken Wrap,83,663.17
Ranch,360,578.4
Beef Chopped Cheese,59,471.41
Alfredo Pasta,41,409.59
Naga Chicken Wrap,50,389.5
Naga Dip,185,368.15
Garlic Beef Wrap,46,353.54
Hot Honey,163,324.37
Naga Habanero Pasta,27,269.73
Tomato Basil Pasta,18,179.82
Soda (Can),42,117.25
Meatlovers Pizza,405,99.95
Paneer Wrap,10,79.9
Mushroom Wrap,7,55.93
Soft Drinks (Can),22,43.28
Aged Parmesan,17,33.83
Mushrom Wrap,4,30.96
Water (small),13,24.27
Red Peppers Bags 3,21,18.79
Parmesan Bags 3,15,12.45
Side Jalapeno,11,10.89
Chicken Wrap,1,7.99
Beef Chopped Cheese,1,7.99
Side Basil,10,5.54
Side Olives,5,4.95
Side Banana Peppers,3,2.97
Side Cilantro,5,2.86
4Cheez with Hot Honey,162,0.0
Naga Habanero Mushroom,44,0.0
Chicken Bianca,93,0.0
Spicy Naga Balachao,12,0.0
Taco Pizza,6,0.0
Spicy Naga Mushroom,10,0.0
Veggie Pizza,70,0.0
Spicy Italian,5,0.0
Alfredo Cheese Pizza,68,0.0
Bongo Tex Mex,30,0.0
Korean BBQ,26,0.0
Naga Habanero Balachao,20,0.0
Spicy Naga Chicken,220,0.0
Naga Habanero Paneer,64,0.0
Pepper Lovers,26,0.0
Harissa Chicken,183,0.0
Cheddar Birds,26,0.0
Bros favorite Cheese Pizza,366,0.0
Naga Habanero Chicken,277,0.0
Beef Taco Pizza,102,0.0
Garlic Ghee Mushroom,169,0.0
Customized Pizza,70,0.0
Garlic Artichoke,4,0.0
Jhura Beef Pesto (contains Pine & Cashew Nuts),91,0.0
Bengali Beef Pesto (Contains Nuts),105,0.0
Beef Pepperoni,524,0.0
