Item,Quantity Sold,Total Sales
Alfredo Pasta,79,789.21
Chicken Wrap,94,751.06
Beef Chopped Cheese,80,639.2
Tomato Basil Pasta,49,489.51
Ranch,343,339.57
Naga Dip,148,294.52
Hot Honey,140,278.6
Naga Habanero Pasta,27,269.73
Soda (Can),71,177.5
Paneer Wrap,18,143.82
Mushroom Wrap,12,95.88
Parmesan Bags 3,26,25.74
Red Peppers Bags 3,20,19.8
Water (small),5,9.95
Side Jalapeno,6,5.94
Side Olives,5,4.95
Side Basil,3,1.5
Side Cilantro,1,0.5
Naga Habanero Chicken,475,0.0
Garlic Artichoke,61,0.0
Bengali Beef Pesto (Contains Nuts),178,0.0
Veggie Pizza,132,0.0
4Cheez with Hot Honey,165,0.0
Alfredo Cheese Pizza,44,0.0
Beef Pepperoni,520,0.0
Alfredo Chicken,121,0.0
Naga Habanero Mushroom,63,0.0
Meatlovers Pizza,425,0.0
Garlic Ghee Mushroom,104,0.0
Customized Pizza,79,0.0
Beef Taco Pizza,170,0.0
Classic Cheese Pizza,376,0.0
Harissa Chicken,233,0.0
Naga Habanero Balachao,21,0.0
Korean BBQ,198,0.0
Naga Habanero Paneer,94,0.0
