iter	RMSE
0	3569.211861
1	3502.696263
2	3443.141107
3	3394.519175
4	3351.080177
5	3322.323642
6	3283.132173
7	3241.69768
8	3227.545292
9	3216.113468
10	3190.93055
11	3157.338495
12	3145.82196
13	3117.882895
14	3094.230917
15	3073.670989
16	3065.803097
17	3055.051705
18	3045.84052
19	3041.57191
20	3037.424784
21	3032.515365
22	3027.981197
23	3024.2931
24	3017.931706
25	3012.389549
26	3006.890939
27	3005.170035
28	2999.811392
29	2998.153253
30	2996.633467
31	2988.94802
32	2981.469436
33	2972.591901
34	2970.579751
35	2968.79884
36	2961.423494
37	2956.787069
38	2950.831069
39	2950.81731
40	2950.648667
41	2947.736005
42	2944.158587
43	2930.764908
44	2930.563541
45	2929.509466
46	2917.724766
47	2917.546181
48	2915.514196
49	2915.507622
50	2914.460176
51	2912.775606
52	2912.313093
53	2912.205574
54	2911.426748
55	2911.361355
56	2905.321363
57	2902.943262
58	2901.538412
59	2901.117854
60	2896.039998
61	2895.445883
62	2891.289051
63	2888.160296
64	2885.7942
65	2878.588759
66	2876.421841
67	2870.968782
68	2869.532713
69	2864.783801
70	2863.075267
71	2862.830116
72	2860.800417
73	2859.346096
74	2858.25137
75	2853.693618
76	2852.775391
77	2851.391789
78	2851.333084
79	2851.146841
80	2850.98821
81	2850.150756
82	2849.565678
83	2848.964018
84	2848.853535
85	2847.927044
86	2847.068698
87	2846.338827
88	2845.626885
89	2842.166485
90	2842.139182
91	2841.803032
92	2841.778904
93	2841.298272
94	2840.800085
95	2840.743865
96	2840.290965
97	2840.073398
98	2839.867826
99	2839.523807
100	2839.332407
101	2839.021282
102	2838.763581
103	2836.836682
104	2836.601268
105	2836.435508
106	2836.408045
107	2833.734153
108	2831.334962
109	2831.154268
110	2830.991171
111	2828.8382
112	2828.82401
113	2828.690309
114	2828.686269
115	2828.55951
116	2828.445812
117	2826.545786
118	2824.841203
119	2824.787391
120	2824.740769
121	2824.698367
122	2824.616095
123	2822.874509
124	2822.809136
125	2822.740729
126	2822.680073
127	2821.317165
128	2821.289987
129	2821.284918
130	2820.06392
131	2818.973878
132	2817.785183
133	2817.738249
134	2817.696821
135	2817.659078
136	2816.780094
137	2816.773993
138	2815.985382
139	2815.977145
140	2815.963968
141	2815.931924
142	2815.919655
143	2815.909061
144	2815.204403
145	2814.57155
146	2814.562643
147	2814.555384
148	2814.547685
149	2813.982147
150	2813.974449
151	2813.467298
152	2813.010725
153	2812.990237
154	2812.985422
155	2812.966035
156	2812.960345
157	2812.551778
158	2812.185048
159	2811.856618
160	2811.561087
161	2811.559166
162	2811.554622
163	2811.550413
164	2811.285383
165	2811.28289
166	2811.045038
167	2810.830541
168	2810.638792
169	2810.466618
170	2810.125073
171	2809.815193
172	2809.800431
173	2809.519666
174	2809.407593
175	2809.395535
176	2809.295026
177	2809.204199
178	2809.123046
179	2808.923553
180	2808.857986
181	2808.79887
182	2808.665769
183	2808.6637
184	2808.653863
185	2808.64427
186	2808.636335
187	2808.628065
188	2808.620538
189	2808.619213
190	2808.617826
191	2808.565424
192	2808.559795
193	2808.39231
194	2808.391803
195	2808.349578
196	2808.201633
197	2808.19607
198	2808.194468
199	2808.160054
200	2808.129461
201	2808.101974
202	2808.097771
203	2808.09342
204	2808.092591
205	2808.06799
206	2808.045878
207	2808.044853
208	2808.042187
209	2808.038457
210	2808.018653
211	2808.01822
212	2808.000432
213	2807.984385
214	2807.984281
215	2807.869314
216	2807.856388
217	2807.85544
218	2807.76347
219	2807.679443
220	2807.602692
221	2807.53258
222	2807.531689
223	2807.520023
224	2807.519406
225	2807.517407
226	2807.506922
227	2807.50646
228	2807.497067
229	2807.496583
230	2807.424159
231	2807.423767
232	2807.423666
233	2807.416065
234	2807.413502
235	2807.413192
236	2807.347906
237	2807.345625
238	2807.29215
239	2807.286015
240	2807.241685
241	2807.241497
242	2807.239764
243	2807.2396
244	2807.237867
245	2807.236312
246	2807.234831
247	2807.229567
248	2807.229517
249	2807.227958
250	2807.2279
251	2807.22681
252	2807.226767
253	2807.226498
254	2807.226296
255	2807.226262
256	2807.22171
257	2807.176363
258	2807.172265
259	2807.172235
260	2807.17222
261	2807.168542
262	2807.127109
263	2807.123796
264	2807.120817
265	2807.120587
266	2807.120565
267	2807.120398
268	2807.120243
269	2807.120173
270	2807.08231
271	2807.082255
272	2807.082235
273	2807.08217
274	2807.082037
275	2807.080952
276	2807.046357
277	2807.014764
278	2806.985909
279	2806.985842
280	2806.985579
281	2806.985541
282	2806.98457
283	2806.984548
284	2806.9845
285	2806.958116
286	2806.958092
287	2806.958072
288	2806.958053
289	2806.957948
290	2806.955284
291	2806.952889
292	2806.952742
293	2806.952649
294	2806.951845
295	2806.951836
296	2806.951752
297	2806.951723
298	2806.951716
299	2806.951712
