iter	Passed	Remaining
0	163	49001
1	183	27310
2	211	20978
3	222	16487
4	266	15720
5	293	14378
6	336	14066
7	349	12752
8	364	11779
9	410	11918
10	435	11447
11	462	11111
12	514	11356
13	539	11028
14	576	10954
15	602	10688
16	635	10575
17	683	10701
18	700	10358
19	732	10255
20	742	9859
21	770	9731
22	792	9539
23	839	9649
24	864	9513
25	904	9535
26	927	9380
27	982	9541
28	995	9304
29	1021	9197
30	1046	9079
31	1058	8864
32	1076	8709
33	1094	8561
34	1100	8333
35	1155	8474
36	1192	8474
37	1204	8303
38	1234	8262
39	1240	8060
40	1276	8060
41	1296	7964
42	1307	7812
43	1324	7707
44	1352	7662
45	1357	7493
46	1396	7517
47	1438	7552
48	1456	7463
49	1507	7537
50	1543	7535
51	1571	7493
52	1582	7376
53	1596	7272
54	1607	7162
55	1652	7200
56	1682	7172
57	1749	7301
58	1819	7432
59	1865	7460
60	1877	7354
61	1932	7416
62	1965	7393
63	2005	7393
64	2042	7384
65	2075	7359
66	2135	7424
67	2173	7414
68	2255	7551
69	2340	7691
70	2347	7572
71	2439	7723
72	2481	7714
73	2533	7737
74	2573	7720
75	2616	7711
76	2654	7688
77	2711	7717
78	2790	7806
79	2832	7789
80	2887	7806
81	2964	7881
82	3019	7894
83	3163	8135
84	3257	8238
85	3315	8250
86	3369	8249
87	3424	8250
88	3505	8310
89	3557	8300
90	3607	8284
91	3667	8292
92	3709	8256
93	3774	8271
94	3823	8250
95	3879	8244
96	3939	8245
97	4013	8272
98	4096	8316
99	4157	8315
100	4209	8294
101	4279	8306
102	4331	8284
103	4410	8312
104	4455	8274
105	4518	8269
106	4573	8249
107	4622	8217
108	4678	8197
109	4768	8236
110	4822	8211
111	4882	8195
112	4928	8155
113	4980	8125
114	5041	8109
115	5105	8098
116	5152	8058
117	5207	8031
118	5252	7989
119	5316	7975
120	5378	7957
121	5445	7944
122	5490	7901
123	5560	7892
124	5620	7869
125	5684	7849
126	5759	7845
127	5819	7819
128	5876	7789
129	5947	7777
130	6011	7754
131	6073	7729
132	6135	7703
133	6202	7683
134	6248	7636
135	6306	7604
136	6390	7603
137	6456	7578
138	6527	7560
139	6578	7517
140	6629	7476
141	6695	7450
142	6747	7408
143	6823	7391
144	6888	7363
145	6953	7334
146	7028	7315
147	7089	7280
148	7140	7236
149	7194	7194
150	7269	7173
151	7355	7161
152	7417	7126
153	7475	7086
154	7543	7056
155	7606	7021
156	7678	6993
157	7753	6968
158	7826	6940
159	7910	6921
160	8012	6917
161	8140	6934
162	8195	6888
163	8278	6865
164	8342	6825
165	8431	6806
166	8545	6805
167	8596	6754
168	8654	6708
169	8745	6687
170	8831	6662
171	8924	6641
172	8976	6589
173	9032	6540
174	9103	6502
175	9186	6471
176	9263	6437
177	9339	6401
178	9385	6344
179	9440	6293
180	9519	6258
181	9576	6209
182	9634	6159
183	9699	6114
184	9745	6057
185	9829	6024
186	9913	5990
187	9971	5940
188	10039	5896
189	10104	5849
190	10177	5807
191	10288	5787
192	10349	5737
193	10383	5673
194	10459	5632
195	10564	5605
196	10646	5566
197	10686	5505
198	10733	5447
199	10775	5387
200	10843	5341
201	10906	5291
202	11004	5258
203	11075	5212
204	11132	5159
205	11200	5110
206	11338	5094
207	11397	5041
208	11451	4986
209	11507	4931
210	11574	4882
211	11659	4839
212	11747	4798
213	11798	4741
214	11849	4684
215	11905	4629
216	11965	4576
217	12050	4532
218	12104	4476
219	12161	4422
220	12221	4368
221	12281	4315
222	12344	4262
223	12420	4214
224	12490	4163
225	12552	4110
226	12633	4062
227	12689	4007
228	12768	3958
229	12822	3902
230	12893	3851
231	13018	3815
232	13074	3759
233	13131	3703
234	13190	3648
235	13247	3592
236	13318	3540
237	13373	3483
238	13430	3427
239	13491	3372
240	13544	3315
241	13677	3278
242	13763	3228
243	13820	3172
244	13873	3114
245	13917	3055
246	13986	3001
247	14112	2958
248	14228	2914
249	14305	2861
250	14361	2803
251	14442	2751
252	14508	2695
253	14568	2638
254	14633	2582
255	14696	2526
256	14779	2472
257	14831	2414
258	14902	2359
259	14952	2300
260	15000	2241
261	15051	2183
262	15075	2120
263	15125	2062
264	15161	2002
265	15186	1941
266	15242	1883
267	15282	1824
268	15343	1768
269	15411	1712
270	15458	1654
271	15509	1596
272	15585	1541
273	15708	1490
274	15784	1434
275	15864	1379
276	15921	1322
277	15983	1264
278	16040	1207
279	16100	1150
280	16159	1092
281	16237	1036
282	16322	980
283	16429	925
284	16484	867
285	16542	809
286	16621	752
287	16769	698
288	16858	641
289	16905	582
290	16948	524
291	16980	465
292	17043	407
293	17101	349
294	17174	291
295	17236	232
296	17303	174
297	17362	116
298	17449	58
299	17507	0
