Type,Menu,Menu group,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Deferred,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
"",SauceBros POS,,,,,,,,8012.0,15.74,,126078.18,1439.21,85.47,6222.02,124553.50,9957.83,0.0,0.0
"",SauceBros POS,Pizzas,,,,,,,4989.0,21.67,,108116.86,859.86,85.47,5862.00,107171.53,8744.65,0.0,0.0
menuItem,SauceBros POS,Pizzas,Korean BBQ,,,Pizza,[],false,34.0,23.81,0.00,809.62,8.05,0.0,45.98,801.57,66.19,0.0,0.0
menuItem,SauceBros POS,Pizzas,Naga Habanero Chicken,,,Pizza,[],false,649.0,22.33,0.00,14491.22,48.09,0.0,347.84,14443.13,1167.35,0.0,0.0
menuItem,SauceBros POS,Pizzas,Spicy Naga Chicken,,,Pizza,[],false,518.0,21.22,0.00,10993.12,163.04,0.0,1234.35,10830.08,876.58,0.0,0.0
menuItem,SauceBros POS,Pizzas,Beef Taco Pizza,,,Pizza,[],false,150.0,21.99,0.00,3298.42,31.35,0.0,128.93,3267.07,267.8,0.0,0.0
menuItem,SauceBros POS,Pizzas,Taco Pizza,,,Pizza,[],false,22.0,21.85,0.00,480.77,22.99,0.0,25.98,457.78,37.77,0.0,0.0
menuItem,SauceBros POS,Pizzas,Meatlovers Pizza,,,Pizza,[],false,493.0,22.96,-0.04,11320.27,90.43,21.99,309.86,11207.85,924.32,0.0,0.0
menuItem,SauceBros POS,Pizzas,Beef Pepperoni,,,Pizza,[],false,590.0,19.24,-0.03,11349.45,136.99,17.99,1045.39,11194.47,887.93,0.0,0.0
menuItem,SauceBros POS,Pizzas,Harissa Chicken,,,Pizza,[],false,170.0,21.90,0.00,3723.13,39.63,0.0,44.97,3683.5,303.93,0.0,0.0
menuItem,SauceBros POS,Pizzas,Bengali Beef Pesto (Contains Nuts),,,Pizza,[],false,169.0,25.13,0.00,4246.15,23.65,0.0,146.94,4222.5,348.61,0.0,0.0
menuItem,SauceBros POS,Pizzas,Jhura Beef Pesto (contains Pine & Cashew Nuts),,,Pizza,[],false,136.0,24.51,0.00,3333.52,20.9,0.0,356.84,3312.62,273.62,0.0,0.0
menuItem,SauceBros POS,Pizzas,Alfredo Chicken,,,Pizza,[],false,103.0,20.84,0.00,2146.58,41.78,0.0,100.95,2104.8,173.68,0.0,0.0
menuItem,SauceBros POS,Pizzas,Chicken Bianca,,,Pizza,[],false,29.0,18.58,0.00,538.69,3.6,0.0,0.0,535.09,44.06,0.0,0.0
menuItem,SauceBros POS,Pizzas,Naga Habanero Paneer,,,Pizza,[],false,67.0,21.94,0.00,1470.0,17.8,0.0,0.0,1452.2,119.88,0.0,0.0
menuItem,SauceBros POS,Pizzas,Naga Habanero Mushroom,,,Pizza,[],false,32.0,19.27,0.00,616.59,4.5,0.0,0.0,612.09,50.4,0.0,0.0
menuItem,SauceBros POS,Pizzas,Spicy Naga Mushroom,,,Pizza,[],false,39.0,20.09,0.00,783.49,1.8,0.0,57.96,781.69,64.38,0.0,0.0
menuItem,SauceBros POS,Pizzas,Garlic Artichoke,,,Pizza,[],false,6.0,20.15,0.00,120.92,0.0,0.0,0.0,120.92,9.99,0.0,0.0
menuItem,SauceBros POS,Pizzas,Garlic Ghee Mushroom,,,Pizza,[],false,166.0,19.65,-0.11,3262.66,17.58,17.99,108.93,3227.09,264.6,0.0,0.0
menuItem,SauceBros POS,Pizzas,Pepper Lovers,,,Pizza,[],false,3.0,18.32,0.00,54.95,0.0,0.0,15.99,54.95,4.54,0.0,0.0
menuItem,SauceBros POS,Pizzas,Veggie Pizza,,,Pizza,[],false,93.0,19.10,0.00,1776.69,4.25,0.0,88.94,1772.44,146.15,0.0,0.0
menuItem,SauceBros POS,Pizzas,4Cheez with Hot Honey,,,Pizza,[],false,120.0,19.22,0.00,2306.49,3.4,0.0,95.94,2303.09,189.8,0.0,0.0
menuItem,SauceBros POS,Pizzas,Bros favorite Cheese Pizza,,,Pizza,[],false,240.0,17.05,0.00,4090.87,38.88,0.0,664.51,4051.99,322.03,0.0,0.0
menuItem,SauceBros POS,Pizzas,Classic Cheese Pizza,,,Pizza,[],false,197.0,18.34,0.00,3613.47,68.2,0.0,145.92,3545.27,286.88,0.0,0.0
menuItem,SauceBros POS,Pizzas,Alfredo Cheese Pizza,,,Pizza,[],false,49.0,17.46,0.00,855.35,0.0,0.0,29.98,855.35,70.59,0.0,0.0
menuItem,SauceBros POS,Pizzas,Margarita,,,Pizza,[],false,27.0,17.54,0.00,473.7,0.0,0.0,16.99,473.7,39.05,0.0,0.0
menuItem,SauceBros POS,Pizzas,Naga Habanero Balachao,,,Pizza,[],false,26.0,17.76,0.00,461.72,8.5,0.0,18.99,453.22,37.37,0.0,0.0
menuItem,SauceBros POS,Pizzas,Spicy Balachao,,,Pizza,[],false,18.0,16.55,0.00,297.82,1.93,0.0,0.0,295.89,24.41,0.0,0.0
menuItem,SauceBros POS,Pizzas,Customized Pizza,,,Pizza,[],false,30.0,22.26,0.00,667.93,5.34,0.0,16.98,662.59,54.71,0.0,0.0
