Item,Sales Category,Item tags,Deferred,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
Korean BBQ,Pizza,[],false,534.0,24.06,0.00,12846.23,108.67,0.0,348.85,12737.56,1027.65,0.0,0.0
Naga Habanero Chicken,Pizza,[],false,1319.0,23.21,-0.02,30617.73,193.08,21.99,826.09,30402.66,2473.75,0.0,0.0
Beef Taco Pizza,Pizza,[],false,398.0,23.03,0.00,9165.58,60.02,0.0,175.92,9105.56,742.60,0.0,0.0
Meatlovers Pizza,Pizza,[],false,893.0,25.57,-0.03,22834.34,113.38,23.99,317.87,22696.97,1851.10,0.0,0.0
Beef Pepperoni,Pizza,[],false,1273.0,20.74,0.00,26403.97,153.61,0.0,498.70,26250.36,2127.99,0.0,0.0
Harissa Chicken,Pizza,[],false,490.0,22.22,0.00,10887.33,81.6,0.0,86.95,10805.73,885.46,0.0,0.0
Bengali Beef Pesto (Contains Nuts),Pizza,[],false,359.0,25.26,0.00,9069.03,12.81,0.0,50.98,9056.22,747.49,0.0,0.0
Alfredo Chicken,Pizza,[],false,274.0,20.55,0.00,5630.55,10.7,0.0,78.96,5619.85,463.90,0.0,0.0
Naga Habanero Paneer,Pizza,[],false,274.0,22.10,0.00,6054.15,98.4,0.0,49.48,5955.75,487.75,0.0,0.0
Naga Habanero Mushroom,Pizza,[],false,117.0,20.40,0.00,2386.24,27.58,0.0,17.99,2358.66,194.42,0.0,0.0
Garlic Artichoke,Pizza,[],false,100.0,20.72,0.00,2071.55,42.69,0.0,0.0,2028.86,161.89,0.0,0.0
Garlic Ghee Mushroom,Pizza,[],false,227.0,19.90,0.00,4517.81,10.71,0.0,0.0,4507.10,370.24,0.0,0.0
Veggie Pizza,Pizza,[],false,328.0,19.75,0.00,6476.56,125.49,0.0,64.94,6351.07,482.34,0.0,0.0
4Cheez with Hot Honey,Pizza,[],false,307.0,19.79,0.00,6076.89,27.91,0.0,17.99,6048.98,497.01,0.0,0.0
Classic Cheese Pizza,Pizza,[],false,841.0,18.51,0.00,15568.74,114.9,0.0,124.91,15453.84,1248.98,0.0,0.0
Alfredo Cheese Pizza,Pizza,[],false,107.0,19.03,0.00,2036.60,12.74,0.0,18.98,2023.86,166.96,0.0,0.0
Margarita,Pizza,[],false,44.0,18.65,0.00,820.39,0.0,0.0,0.0,820.39,67.68,0.0,0.0
Naga Habanero Balachao,Pizza,[],false,57.0,18.06,0.00,1029.37,3.08,0.0,0.0,1026.29,84.67,0.0,0.0
Customized Pizza,Pizza,[],false,123.0,23.27,0.00,2862.70,2.59,0.0,0.0,2860.11,236.13,0.0,0.0
Half & Half,Pizza,[],false,736.0,25.89,0.00,19057.58,14.45,0.0,450.72,19043.13,1571.51,0.0,0.0
Alfredo Pasta,Pizza,[],false,270.0,12.71,9.99,3432.84,1.94,0.0,89.88,3430.90,282.76,0.0,0.0
Tomato Basil Pasta,Pizza,[],false,119.0,12.05,9.99,1433.99,3.39,0.0,12.98,1430.60,117.84,0.0,0.0
Naga Habanero Pasta,Pizza,[],false,118.0,12.55,9.99,1480.81,3.45,0.0,12.98,1477.36,121.75,0.0,0.0
Beef Chopped Cheese,Pizza,[],false,356.0,8.17,8.09,2907.35,172.98,0.0,31.96,2734.37,182.54,0.0,0.0
Chicken Wrap,Pizza,[],false,1069.0,8.06,8.04,8616.23,1326.31,0.0,39.95,7289.92,276.15,0.0,0.0
Mushroom Wrap,Pizza,[],false,36.0,8.32,8.24,299.63,0.0,0.0,0.0,299.63,24.76,0.0,0.0
Paneer Wrap,Pizza,[],false,57.0,8.46,8.41,482.42,8.4,0.0,0.0,474.02,39.18,0.0,0.0
